filename,key,exercise,condition1,condition2,condition3,condition4,condition5
D01-2-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D01-3-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D01-4-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D01-5-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D01-6-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D01-7-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D01-8-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-1-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-2-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-3-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-4-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-5-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-6-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-7-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D05-8-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-1-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-2-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-3-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-4-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-5-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-6-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-7-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-8-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D09-9-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-1-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-2-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-3-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-4-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-5-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-6-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-8-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D13-9-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-1-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-2-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-3-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-4-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-5-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-6-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-7-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-8-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
D23-9-001.json,1,스탠딩 사이드 크런치,TRUE,TRUE,TRUE,TRUE,TRUE
